state,date,households,persons,avg_per_household,avg_per_person,total_cost
Connecticut,1988-10-01,40621,108805,105.59,39.42,4289088
Connecticut,1988-11-01,40988,109264,105.91,39.73,4341000
Connecticut,1988-12-01,41109,109456,105.55,39.64,4339230
Connecticut,1989-01-01,42033,111600,102.58,38.64,4311901
Connecticut,1989-02-01,42598,112990,104.39,39.36,4446846
Connecticut,1989-03-01,42639,113145,104.97,39.56,4475884
Connecticut,1989-04-01,43758,115559,105.04,39.77,4596316
Connecticut,1989-05-01,43888,115480,100.63,38.24,4416458
Connecticut,1989-06-01,43654,115283,101.08,38.28,4412559
Connecticut,1989-07-01,43782,115384,97.59,37.03,4272833
Connecticut,1989-08-01,44817,117896,96.03,36.5,4303634
Connecticut,1989-09-01,44530,117600,96.71,36.62,4306483
Maine,1988-10-01,35691,80656,110.65,48.96,3949167
Maine,1988-11-01,35523,79715,108.5,48.35,3854081
Maine,1988-12-01,36521,82620,109.34,48.33,3993273
Maine,1989-01-01,37527,85204,104.4,45.98,3918004
Maine,1989-02-01,38190,87143,106.31,46.59,4059842
Maine,1989-03-01,38831,88446,107.07,47.01,4157698
Maine,1989-04-01,37810,86138,106.6,46.79,4030647
Maine,1989-05-01,37962,87082,108.94,47.49,4135647
Maine,1989-06-01,37246,84467,106.89,47.13,3981065
Maine,1989-07-01,37044,84003,107.56,47.43,3984375
Maine,1989-08-01,37248,84185,108.57,48.04,4044079
Maine,1989-09-01,36679,82356,106.58,47.47,3909383
Massachusetts,1988-10-01,132536,307086,95.78,41.34,12694704
Massachusetts,1988-11-01,134248,310775,94.12,40.66,12634941
Massachusetts,1988-12-01,134235,310443,94.0,40.64,12617735
Massachusetts,1989-01-01,134952,312101,93.95,40.62,12679005
Massachusetts,1989-02-01,135869,313456,93.95,40.72,12765451
Massachusetts,1989-03-01,137442,316444,93.64,40.67,12870119
Massachusetts,1989-04-01,136394,313306,93.59,40.74,12764700
Massachusetts,1989-05-01,135932,312177,94.29,41.06,12816860
Massachusetts,1989-06-01,138951,319111,91.85,39.99,12762528
Massachusetts,1989-07-01,137767,316846,93.35,40.59,12860360
Massachusetts,1989-08-01,138948,319841,94.4,41.01,13117013
Massachusetts,1989-09-01,139995,322345,93.87,40.77,13141710
New Hampshire,1988-10-01,9044,18851,95.04,45.6,859573
New Hampshire,1988-11-01,9183,19254,95.18,45.39,874033
New Hampshire,1988-12-01,9501,20037,97.49,46.23,926299
New Hampshire,1989-01-01,9918,21170,96.36,45.14,955701
New Hampshire,1989-02-01,10221,22066,100.51,46.55,1027265
New Hampshire,1989-03-01,10652,23227,102.86,47.17,1095618
New Hampshire,1989-04-01,10535,23016,101.41,46.42,1068405
New Hampshire,1989-05-01,10535,23095,101.56,46.33,1069983
New Hampshire,1989-06-01,10497,22602,99.0,45.98,1039151
New Hampshire,1989-07-01,10588,22687,97.03,45.29,1027405
New Hampshire,1989-08-01,10782,23222,99.93,46.4,1077409
New Hampshire,1989-09-01,10735,23168,99.01,45.87,1062821
New York,1988-10-01,651778,1494329,119.85,52.28,78118270
New York,1988-11-01,649541,1484397,120.07,52.54,77989550
New York,1988-12-01,651857,1493627,120.68,52.67,78667519
New York,1989-01-01,659846,1502222,116.98,51.38,77191353
New York,1989-02-01,636215,1438246,121.66,53.82,77404538
New York,1989-03-01,656503,1468033,118.88,53.16,78044711
New York,1989-04-01,657658,1468739,118.13,52.89,77687835
New York,1989-05-01,656260,1468158,118.08,52.78,77491383
New York,1989-06-01,659489,1463751,116.91,52.67,77101621
New York,1989-07-01,635120,1410743,120.64,54.31,76619674
New York,1989-08-01,638620,1409738,121.01,54.82,77278501
New York,1989-09-01,650229,1448317,118.37,53.14,76970150
Rhode Island,1988-10-01,24568,55993,99.3,43.57,2439607
Rhode Island,1988-11-01,24471,55483,100.73,44.43,2465037
Rhode Island,1988-12-01,24610,55830,101.16,44.59,2489636
Rhode Island,1989-01-01,24844,56501,118.39,52.06,2941379
Rhode Island,1989-02-01,24975,56738,118.56,52.19,2961093
Rhode Island,1989-03-01,25318,57668,119.33,52.39,3021171
Rhode Island,1989-04-01,25176,57408,119.48,52.4,3008134
Rhode Island,1989-05-01,25010,56822,116.63,51.33,2916881
Rhode Island,1989-06-01,25104,57123,117.02,51.43,2937789
Rhode Island,1989-07-01,25010,57001,99.61,43.71,2491229
Rhode Island,1989-08-01,25339,57680,99.16,43.56,2512512
Rhode Island,1989-09-01,25340,57958,95.92,41.94,2430580
Vermont,1988-10-01,14317,31736,95.38,43.03,1365506
Vermont,1988-11-01,14807,33185,97.48,43.49,1443324
Vermont,1988-12-01,15201,34182,97.24,43.25,1478206
Vermont,1989-01-01,15113,33746,95.74,42.88,1446893
Vermont,1989-02-01,15594,35413,98.21,43.25,1531514
Vermont,1989-03-01,15730,35552,98.36,43.52,1547178
Vermont,1989-04-01,15425,34624,95.1,42.37,1466873
Vermont,1989-05-01,15529,35140,97.21,42.96,1509500
Vermont,1989-06-01,15273,34222,94.55,42.2,1444045
Vermont,1989-07-01,15040,33171,90.17,40.88,1356153
Vermont,1989-08-01,15321,34092,92.68,41.65,1419955
Vermont,1989-09-01,15177,33640,91.21,41.15,1384330
Delaware,1988-10-01,10654,28767,138.35,51.24,1473994
Delaware,1988-11-01,10670,28810,138.47,51.28,1477507
Delaware,1988-12-01,11141,30081,147.69,54.7,1645382
Delaware,1989-01-01,10932,29517,148.53,55.01,1623778
Delaware,1989-02-01,10931,29512,147.99,54.81,1617662
Delaware,1989-03-01,11290,30483,149.69,55.44,1690042
Delaware,1989-04-01,11281,30459,142.08,52.62,1602830
Delaware,1989-05-01,10926,29501,140.52,52.04,1535362
Delaware,1989-06-01,10940,29539,139.88,51.81,1530340
Delaware,1989-07-01,10904,29441,139.89,51.81,1525352
Delaware,1989-08-01,11217,30286,137.66,50.98,1544118
Delaware,1989-09-01,11208,30262,140.68,52.1,1576779
District of Columbia,1988-10-01,25414,58940,117.15,50.51,2977234
District of Columbia,1988-11-01,25854,59833,117.71,50.86,3043274
District of Columbia,1988-12-01,25957,60173,117.85,50.84,3058959
District of Columbia,1989-01-01,25252,58175,116.49,50.56,2941496
District of Columbia,1989-02-01,25050,57598,116.04,50.47,2906808
District of Columbia,1989-03-01,24536,56402,121.03,52.65,2969531
District of Columbia,1989-04-01,25361,58583,116.07,50.25,2943552
District of Columbia,1989-05-01,25067,58029,115.37,49.84,2892101
District of Columbia,1989-06-01,25225,57946,115.48,50.27,2913005
District of Columbia,1989-07-01,25174,57983,115.62,50.2,2910572
District of Columbia,1989-08-01,25573,58903,116.13,50.42,2969735
District of Columbia,1989-09-01,25678,59415,116.16,50.2,2982747
Maryland,1988-10-01,104553,246116,139.47,59.25,14581566
Maryland,1988-11-01,105092,247080,139.25,59.23,14633817
Maryland,1988-12-01,106723,250104,139.59,59.57,14897526
Maryland,1989-01-01,106689,249662,136.74,58.43,14588460
Maryland,1989-02-01,106667,249456,138.35,59.16,14756935
Maryland,1989-03-01,108075,252499,139.28,59.62,15052988
Maryland,1989-04-01,106635,249777,138.87,59.28,14807928
Maryland,1989-05-01,106310,249038,138.66,59.19,14741357
Maryland,1989-06-01,105978,248137,139.04,59.38,14735293
Maryland,1989-07-01,105399,246939,134.48,57.4,14174286
Maryland,1989-08-01,106331,248688,136.23,58.25,14485074
Maryland,1989-09-01,106060,248276,135.95,58.08,14418769
New Jersey,1988-10-01,135148,351533,142.36,54.73,19239193
New Jersey,1988-11-01,134449,348351,141.78,54.72,19062453
New Jersey,1988-12-01,139492,363346,144.53,55.49,20161067
New Jersey,1989-01-01,132807,341918,139.31,54.11,18500813
New Jersey,1989-02-01,136284,351673,141.2,54.72,19243162
New Jersey,1989-03-01,138154,356461,140.82,54.58,19454319
New Jersey,1989-04-01,136290,348944,142.08,55.49,19364501
New Jersey,1989-05-01,135211,345271,140.69,55.1,19023115
New Jersey,1989-06-01,137963,353913,140.19,54.65,19340435
New Jersey,1989-07-01,138205,355355,138.92,54.03,19199564
New Jersey,1989-08-01,139257,357935,139.1,54.12,19370401
New Jersey,1989-09-01,140617,361026,140.1,54.57,19700263
Pennsylvania,1988-10-01,385839,916318,121.02,50.96,46693139
Pennsylvania,1988-11-01,383396,905880,119.45,50.56,45798209
Pennsylvania,1988-12-01,386907,917300,120.81,50.96,46743232
Pennsylvania,1989-01-01,388529,920472,120.58,50.9,46848463
Pennsylvania,1989-02-01,389494,918543,118.93,50.43,46322703
Pennsylvania,1989-03-01,397452,938790,119.3,50.51,47414444
Pennsylvania,1989-04-01,393872,930664,118.97,50.35,46858837
Pennsylvania,1989-05-01,389661,913707,117.47,50.1,45775052
Pennsylvania,1989-06-01,387954,912119,118.04,50.21,45794272
Pennsylvania,1989-07-01,387757,911206,117.38,49.95,45516135
Pennsylvania,1989-08-01,386364,901156,116.53,49.96,45021934
Pennsylvania,1989-09-01,388003,908116,117.02,50.0,45403896
Virginia,1988-10-01,134168,325975,126.44,52.04,16963989
Virginia,1988-11-01,133829,323468,124.76,51.62,16695913
Virginia,1988-12-01,137888,335433,126.25,51.9,17408543
Virginia,1989-01-01,138972,337707,125.72,51.74,17471651
Virginia,1989-02-01,138093,334666,125.76,51.89,17366475
Virginia,1989-03-01,142370,346190,127.7,52.52,18181301
Virginia,1989-04-01,140650,341850,127.29,52.37,17903783
Virginia,1989-05-01,137958,332544,123.44,51.21,17030022
Virginia,1989-06-01,138041,333138,123.63,51.23,17065745
Virginia,1989-07-01,135991,326986,123.05,51.18,16733785
Virginia,1989-08-01,136181,325167,122.13,51.15,16632171
Virginia,1989-09-01,136526,327117,124.59,52.0,17009630
Virgin Islands,1988-10-01,4712,17136,272.23,74.86,1282740
Virgin Islands,1988-11-01,4660,16941,267.97,73.71,1248740
Virgin Islands,1988-12-01,4685,17108,269.04,73.68,1260442
Virgin Islands,1989-01-01,4453,17057,272.52,71.15,1213527
Virgin Islands,1989-02-01,4249,15449,262.04,72.07,1113392
Virgin Islands,1989-03-01,4407,16052,269.7,74.05,1188572
Virgin Islands,1989-04-01,4404,15908,261.81,72.48,1152998
Virgin Islands,1989-05-01,4421,15954,254.22,70.45,1123889
Virgin Islands,1989-06-01,4499,16185,255.5,71.02,1149484
Virgin Islands,1989-07-01,4444,16067,254.07,70.27,1129068
Virgin Islands,1989-08-01,4337,15577,253.67,70.63,1100171
Virgin Islands,1989-09-01,4394,15894,286.2,79.12,1257572
West Virginia,1988-10-01,90828,251290,152.42,55.09,13843918
West Virginia,1988-11-01,91005,251512,150.56,54.48,13701612
West Virginia,1988-12-01,94044,260336,151.08,54.58,14208589
West Virginia,1989-01-01,95260,263668,151.33,54.67,14415980
West Virginia,1989-02-01,95235,263817,150.88,54.46,14368690
West Virginia,1989-03-01,96565,267320,150.61,54.41,14543676
West Virginia,1989-04-01,95594,264332,151.3,54.72,14463659
West Virginia,1989-05-01,94698,260903,148.74,53.99,14085792
West Virginia,1989-06-01,93920,258388,148.84,54.1,13979243
West Virginia,1989-07-01,93329,256646,148.55,54.02,13864459
West Virginia,1989-08-01,93907,257470,147.69,53.87,13869313
West Virginia,1989-09-01,93245,255058,148.45,54.27,13842253
Alabama,1988-10-01,153002,427623,150.1,53.7,22965304
Alabama,1988-11-01,153226,426172,146.83,52.79,22498896
Alabama,1988-12-01,157222,438644,149.04,53.42,23432986
Alabama,1989-01-01,157389,439131,146.99,52.68,23135266
Alabama,1989-02-01,155863,432792,144.88,52.18,22581362
Alabama,1989-03-01,160501,446855,148.9,53.48,23898183
Alabama,1989-04-01,159180,443095,148.04,53.18,23565051
Alabama,1989-05-01,156525,432744,143.13,51.77,22402959
Alabama,1989-06-01,158047,438400,145.7,52.52,23026861
Alabama,1989-07-01,157251,435296,145.59,52.59,22893563
Alabama,1989-08-01,155922,428280,143.04,52.08,22303667
Alabama,1989-09-01,158278,437504,147.54,53.38,23351792
Florida,1988-10-01,252097,646479,148.6,57.95,37460389
Florida,1988-11-01,255877,655687,146.42,57.14,37464709
Florida,1988-12-01,257415,660820,146.78,57.18,37783857
Florida,1989-01-01,257176,658327,144.91,56.61,37268241
Florida,1989-02-01,254413,649914,145.43,56.93,36999753
Florida,1989-03-01,261836,669391,145.24,56.81,38028358
Florida,1989-04-01,259406,663784,143.72,56.17,37281788
Florida,1989-05-01,259406,663784,143.97,56.26,37346858
Florida,1989-06-01,264789,677234,143.11,55.95,37892683
Florida,1989-07-01,267273,683036,143.66,56.21,38395367
Florida,1989-08-01,271511,691285,145.9,57.3,39612220
Florida,1989-09-01,271794,695523,146.15,57.11,39723026
Georgia,1988-10-01,175081,471271,141.14,52.44,24711394
Georgia,1988-11-01,176160,472450,139.97,52.19,24656448
Georgia,1988-12-01,177986,478666,141.03,52.44,25100623
Georgia,1989-01-01,180193,484707,139.91,52.01,25210460
Georgia,1989-02-01,180719,485068,138.89,51.75,25100771
Georgia,1989-03-01,185061,496313,139.54,52.03,25824305
Georgia,1989-04-01,182457,490636,138.68,51.57,25303618
Georgia,1989-05-01,181538,484619,136.93,51.3,24858708
Georgia,1989-06-01,181888,486210,137.43,51.41,24997696
Georgia,1989-07-01,181778,485681,138.12,51.69,25106478
Georgia,1989-08-01,183051,486762,138.08,51.93,25276551
Georgia,1989-09-01,184824,493186,138.65,51.96,25625762
Kentucky,1988-10-01,164938,459197,152.8,54.88,25201866
Kentucky,1988-11-01,166995,462370,150.14,54.23,25072035
Kentucky,1988-12-01,159539,439995,159.41,57.8,25431719
Kentucky,1989-01-01,161102,445493,158.75,57.41,25574268
Kentucky,1989-02-01,159827,445242,160.92,57.76,25719252
Kentucky,1989-03-01,161043,447854,161.83,58.19,26061414
Kentucky,1989-04-01,157576,435621,162.61,58.82,25624043
Kentucky,1989-05-01,163795,454845,151.21,54.45,24768141
Kentucky,1989-06-01,155399,428771,156.89,56.86,24380187
Kentucky,1989-07-01,162103,448071,148.19,53.61,24022435
Kentucky,1989-08-01,162502,446171,148.75,54.18,24172281
Kentucky,1989-09-01,162454,445038,147.35,53.79,23937780
Mississippi,1988-10-01,169841,500756,159.69,54.16,27121383
Mississippi,1988-11-01,168030,484082,155.03,53.81,26049951
Mississippi,1988-12-01,171032,493742,156.43,54.19,26755277
Mississippi,1989-01-01,171771,496345,155.8,53.92,26762505
Mississippi,1989-02-01,170071,488052,153.87,53.62,26169079
Mississippi,1989-03-01,173583,503603,158.72,54.71,27551437
Mississippi,1989-04-01,173336,500030,156.95,54.41,27205019
Mississippi,1989-05-01,171655,487295,150.28,52.94,25796596
Mississippi,1989-06-01,172452,493098,152.67,53.39,26328445
Mississippi,1989-07-01,172264,491564,152.94,53.6,26346699
Mississippi,1989-08-01,170625,483489,150.76,53.2,25722617
Mississippi,1989-09-01,173351,492254,155.36,54.71,26931175
North Carolina,1988-10-01,149943,382152,124.89,49.0,18726684
North Carolina,1988-11-01,150085,380125,122.13,48.22,18330266
North Carolina,1988-12-01,155045,394734,124.52,48.91,19305584
North Carolina,1989-01-01,156163,397705,122.4,48.06,19114658
North Carolina,1989-02-01,154760,392795,121.85,48.01,18856738
North Carolina,1989-03-01,158005,403366,126.29,49.47,19954989
North Carolina,1989-04-01,156714,400036,125.24,49.06,19626298
North Carolina,1989-05-01,153138,387923,122.03,48.17,18687913
North Carolina,1989-06-01,153463,389584,121.89,48.01,18705737
North Carolina,1989-07-01,152545,386258,121.98,48.17,18607796
North Carolina,1989-08-01,151860,381299,121.15,48.25,18397931
North Carolina,1989-09-01,153261,387675,126.41,49.97,19373243
South Carolina,1988-10-01,89005,254754,150.65,52.64,13408974
South Carolina,1988-11-01,88480,252294,148.4,52.05,13130809
South Carolina,1988-12-01,90137,257557,150.28,52.59,13545874
South Carolina,1989-01-01,89811,256582,148.76,52.07,13360640
South Carolina,1989-02-01,89265,254076,146.51,51.47,13078213
South Carolina,1989-03-01,90916,260314,151.59,52.94,13781593
South Carolina,1989-04-01,90182,258107,150.49,52.58,13571604
South Carolina,1989-05-01,91210,258857,143.08,50.42,13050583
South Carolina,1989-06-01,89530,254993,148.28,52.06,13275358
South Carolina,1989-07-01,90412,252258,145.61,52.19,13165228
South Carolina,1989-08-01,88393,249251,147.51,52.31,13038458
South Carolina,1989-09-01,152276,455486,136.74,45.71,20821711
Tennessee,1988-10-01,187236,488284,136.94,52.51,25639842
Tennessee,1988-11-01,189293,493024,135.43,52.0,25636190
Tennessee,1988-12-01,191606,498908,135.89,52.19,26037571
Tennessee,1989-01-01,193198,503090,135.66,52.1,26208661
Tennessee,1989-02-01,195232,508793,136.28,52.29,26605891
Tennessee,1989-03-01,198404,516716,136.16,52.28,27015300
Tennessee,1989-04-01,194784,505933,135.87,52.31,26466266
Tennessee,1989-05-01,193141,499506,134.07,51.84,25894310
Tennessee,1989-06-01,191597,494960,133.66,51.74,25608712
Tennessee,1989-07-01,191692,494625,134.08,51.96,25702533
Tennessee,1989-08-01,193989,500159,133.34,51.72,25866412
Tennessee,1989-09-01,192551,495958,133.37,51.78,25680303
Illinois,1988-10-01,405572,1001115,152.26,61.68,61751319
Illinois,1988-11-01,403977,994391,151.37,61.5,61151560
Illinois,1988-12-01,406688,1000315,151.21,61.48,61495363
Illinois,1989-01-01,405536,1000856,151.68,61.46,61511212
Illinois,1989-02-01,402533,989760,150.35,61.15,60520326
Illinois,1989-03-01,408940,1006559,152.64,62.01,62421196
Illinois,1989-04-01,404400,995251,150.72,61.24,60951709
Illinois,1989-05-01,401886,986623,150.05,61.12,60302296
Illinois,1989-06-01,400685,985369,149.87,60.94,60052475
Illinois,1989-07-01,395337,974221,150.03,60.88,59310838
Illinois,1989-08-01,396289,973376,151.52,61.69,60045518
Illinois,1989-09-01,393671,966160,151.9,61.89,59797867
Indiana,1988-10-01,99171,284804,154.77,53.89,15349092
Indiana,1988-11-01,97659,278625,151.5,53.1,14795186
Indiana,1988-12-01,99796,286316,152.81,53.26,15249574
Indiana,1989-01-01,101160,289993,153.08,53.4,15485672
Indiana,1989-02-01,100790,288336,153.02,53.49,15423064
Indiana,1989-03-01,103223,296964,170.26,59.18,17574973
Indiana,1989-04-01,101681,291987,155.87,54.28,15849003
Indiana,1989-05-01,98203,280395,152.2,53.31,14946493
Indiana,1989-06-01,98354,281484,153.07,53.49,15055267
Indiana,1989-07-01,96816,276276,152.89,53.58,14802528
Indiana,1989-08-01,99098,282643,152.83,53.58,15145005
Indiana,1989-09-01,99476,283865,151.79,53.19,15099040
Michigan,1988-10-01,357198,863842,114.66,47.41,40955350
Michigan,1988-11-01,356694,858718,118.6,49.26,42304519
Michigan,1988-12-01,359318,865772,118.78,49.3,42679671
Michigan,1989-01-01,363165,873318,117.96,49.05,42838595
Michigan,1989-02-01,363883,873772,119.07,49.58,43325833
Michigan,1989-03-01,369164,886096,131.27,54.69,48460539
Michigan,1989-04-01,368411,884499,116.91,48.69,43070086
Michigan,1989-05-01,365798,876145,112.2,46.85,41044090
Michigan,1989-06-01,366206,880957,112.98,46.96,41373182
Michigan,1989-07-01,363074,876266,113.2,46.91,41101444
Michigan,1989-08-01,364360,875425,113.3,47.16,41281440
Michigan,1989-09-01,363938,875054,113.17,47.07,41185300
Minnesota,1988-10-01,95653,240926,112.4,44.63,10751802
Minnesota,1988-11-01,95378,239645,110.46,43.96,10535606
Minnesota,1988-12-01,96031,240262,111.91,44.73,10746493
Minnesota,1989-01-01,96301,239177,113.29,45.62,10910112
Minnesota,1989-02-01,97514,241824,111.4,44.92,10862712
Minnesota,1989-03-01,99474,249897,112.21,44.66,11161564
Minnesota,1989-04-01,99496,249690,110.68,44.1,11012188
Minnesota,1989-05-01,99120,248014,109.09,43.6,10813354
Minnesota,1989-06-01,99754,250032,112.06,44.71,11178080
Minnesota,1989-07-01,98198,246246,113.9,45.42,11185036
Minnesota,1989-08-01,99301,248854,111.23,44.38,11045318
Minnesota,1989-09-01,99092,248234,111.56,44.53,11054300
Ohio,1988-10-01,440271,1053529,143.08,59.79,62993181
Ohio,1988-11-01,439107,1045858,142.1,59.66,62396323
Ohio,1988-12-01,443778,1058423,142.3,59.67,63151180
Ohio,1989-01-01,448795,1067042,139.78,58.79,62730659
Ohio,1989-02-01,450242,1072523,139.36,58.5,62747314
Ohio,1989-03-01,454370,1081498,134.68,56.58,61194681
Ohio,1989-04-01,453063,1078666,132.57,55.68,60060520
Ohio,1989-05-01,453351,1077613,138.08,58.09,62599693
Ohio,1989-06-01,453863,1076850,136.62,57.58,62004814
Ohio,1989-07-01,450958,1071114,137.66,57.96,62078649
Ohio,1989-08-01,451969,1072680,138.6,58.4,62641061
Ohio,1989-09-01,447482,1059902,138.48,58.47,61967188
Wisconsin,1988-10-01,101117,296767,132.2,45.04,13367627
Wisconsin,1988-11-01,99807,292145,130.77,44.68,13052104
Wisconsin,1988-12-01,100513,294050,130.62,44.65,13128644
Wisconsin,1989-01-01,101312,296037,129.55,44.34,13125136
Wisconsin,1989-02-01,100730,293325,129.18,44.36,13011855
Wisconsin,1989-03-01,102036,297779,131.07,44.91,13373477
Wisconsin,1989-04-01,101350,296125,130.65,44.72,13241394
Wisconsin,1989-05-01,98748,288079,131.04,44.92,12939450
Wisconsin,1989-06-01,98343,287427,133.41,45.65,13120028
Wisconsin,1989-07-01,97225,284353,131.27,44.88,12762790
Wisconsin,1989-08-01,96117,280511,131.69,45.12,12657602
Wisconsin,1989-09-01,96659,282934,133.5,45.61,12903632
Arkansas,1988-10-01,81029,221604,128.86,47.12,10441345
Arkansas,1988-11-01,82071,225194,131.88,48.06,10823180
Arkansas,1988-12-01,83251,229258,133.44,48.46,11109179
Arkansas,1989-01-01,83617,229071,128.51,46.91,10745448
Arkansas,1989-02-01,84984,234862,134.47,48.66,11427898
Arkansas,1989-03-01,85921,238181,135.82,49.0,11669917
Arkansas,1989-04-01,82973,227462,128.94,47.03,10698465
Arkansas,1989-05-01,83003,228050,131.46,47.85,10911778
Arkansas,1989-06-01,82000,225124,130.8,47.64,10725279
Arkansas,1989-07-01,80918,220392,127.8,46.92,10341383
Arkansas,1989-08-01,82552,226262,132.6,48.38,10946280
Arkansas,1989-09-01,81693,222503,129.75,47.64,10599613
Louisiana,1988-10-01,238761,715230,168.46,56.24,40222310
Louisiana,1988-11-01,238872,713634,167.57,56.09,40028524
Louisiana,1988-12-01,241531,720203,167.37,56.13,40425811
Louisiana,1989-01-01,242883,723017,164.58,55.29,39973502
Louisiana,1989-02-01,244664,727862,165.71,55.7,40543347
Louisiana,1989-03-01,248113,736607,165.94,55.89,41171021
Louisiana,1989-04-01,246664,732198,164.87,55.54,40667914
Louisiana,1989-05-01,247284,731321,164.41,55.59,40656573
Louisiana,1989-06-01,246992,728601,163.37,55.38,40351685
Louisiana,1989-07-01,245356,722324,162.95,55.35,39979697
Louisiana,1989-08-01,247433,725832,163.25,55.65,40393534
Louisiana,1989-09-01,246283,719985,162.72,55.66,40074766
New Mexico,1988-10-01,45432,147740,174.15,53.55,7912134
New Mexico,1988-11-01,46701,148744,174.36,54.74,8142885
New Mexico,1988-12-01,48426,150469,176.08,56.67,8526860
New Mexico,1989-01-01,48749,148071,170.03,55.98,8288859
New Mexico,1989-02-01,50474,152704,170.12,56.23,8586879
New Mexico,1989-03-01,52088,158015,171.4,56.5,8927759
New Mexico,1989-04-01,50387,151964,163.94,54.36,8260204
New Mexico,1989-05-01,50837,153382,166.74,55.26,8476590
New Mexico,1989-06-01,50253,151211,164.41,54.64,8262135
New Mexico,1989-07-01,48548,146512,164.5,54.51,7986194
New Mexico,1989-08-01,50147,150328,165.9,55.34,8319538
New Mexico,1989-09-01,49476,146860,160.49,54.07,7940262
Oklahoma,1988-10-01,102650,263510,131.51,51.23,13499856
Oklahoma,1988-11-01,101279,259157,129.78,50.72,13143792
Oklahoma,1988-12-01,102677,263527,131.95,51.41,13548076
Oklahoma,1989-01-01,103134,264830,130.04,50.64,13412000
Oklahoma,1989-02-01,104257,268615,131.21,50.93,13679918
Oklahoma,1989-03-01,105708,273536,132.86,51.34,14044113
Oklahoma,1989-04-01,102822,264210,129.66,50.46,13331549
Oklahoma,1989-05-01,101354,259060,129.44,50.64,13119039
Oklahoma,1989-06-01,100480,255975,128.73,50.53,12934364
Oklahoma,1989-07-01,99364,252067,128.32,50.58,12750417
Oklahoma,1989-08-01,100005,253921,129.05,50.82,12905278
Oklahoma,1989-09-01,99338,250978,127.84,50.6,12699512
Texas,1988-10-01,507406,1542784,173.02,56.9,87789875
Texas,1988-11-01,511673,1554639,172.64,56.82,88334661
Texas,1988-12-01,521403,1586093,173.23,56.95,90321323
Texas,1989-01-01,526495,1600090,169.44,55.75,89208639
Texas,1989-02-01,535659,1629062,170.01,55.9,91069876
Texas,1989-03-01,547937,1663918,170.6,56.18,93475514
Texas,1989-04-01,548631,1661330,168.5,55.64,92442017
Texas,1989-05-01,553559,1668198,167.84,55.7,92910871
Texas,1989-06-01,555787,1665798,166.14,55.43,92338138
Texas,1989-07-01,556939,1659003,165.09,55.42,91945051
Texas,1989-08-01,566431,1681021,165.5,55.77,93746955
Texas,1989-09-01,574165,1701921,165.13,55.71,94814039
Colorado,1988-10-01,78380,202057,138.57,53.75,10860769
Colorado,1988-11-01,78586,201546,137.14,53.47,10777256
Colorado,1988-12-01,83117,214071,134.91,52.38,11213487
Colorado,1989-01-01,83673,215754,134.53,52.17,11256936
Colorado,1989-02-01,83977,216553,134.66,52.22,11308699
Colorado,1989-03-01,86645,223647,135.7,52.57,11757595
Colorado,1989-04-01,84515,217931,136.39,52.89,11527139
Colorado,1989-05-01,82785,211720,132.82,51.94,10995809
Colorado,1989-06-01,82672,211614,133.1,52.0,11003676
Colorado,1989-07-01,80429,206645,132.93,51.74,10691025
Colorado,1989-08-01,81406,206384,132.39,52.22,10777634
Colorado,1989-09-01,80903,207745,134.18,52.25,10855471
Iowa,1988-10-01,66597,167517,124.49,49.49,8290615
Iowa,1988-11-01,66374,166294,121.59,48.53,8070692
Iowa,1988-12-01,67416,169327,122.48,48.76,8257042
Iowa,1989-01-01,68101,171114,121.83,48.49,8296583
Iowa,1989-02-01,68155,170432,121.08,48.42,8252424
Iowa,1989-03-01,69337,174279,122.9,48.9,8521854
Iowa,1989-04-01,68915,173384,121.5,48.29,8372941
Iowa,1989-05-01,66947,167238,119.44,47.81,7995822
Iowa,1989-06-01,66225,165806,120.18,48.0,7958706
Iowa,1989-07-01,65615,164508,120.97,48.25,7937532
Iowa,1989-08-01,65432,163210,116.93,46.88,7650740
Iowa,1989-09-01,65424,163431,117.65,47.1,7697427
Kansas,1988-10-01,47310,119434,137.46,54.45,6503438
Kansas,1988-11-01,45928,120319,140.78,53.74,6465903
Kansas,1988-12-01,45928,123308,142.95,53.25,6565612
Kansas,1989-01-01,50390,124673,130.99,52.94,6600655
Kansas,1989-02-01,48464,126991,136.33,52.03,6606909
Kansas,1989-03-01,50312,132343,137.5,52.27,6918032
Kansas,1989-04-01,49547,130660,138.63,52.57,6868669
Kansas,1989-05-01,49765,130304,133.11,50.84,6624180
Kansas,1989-06-01,50678,130347,131.1,50.97,6644094
Kansas,1989-07-01,50043,130767,131.72,50.41,6591895
Kansas,1989-08-01,51009,132794,130.67,50.19,6665329
Kansas,1989-09-01,51332,133758,131.71,50.55,6761009
Missouri,1988-10-01,147793,392727,141.43,53.22,20902762
Missouri,1988-11-01,148024,393268,140.87,53.02,20852350
Missouri,1988-12-01,151347,402334,140.78,52.96,21307283
Missouri,1989-01-01,152917,406075,137.84,51.91,21077944
Missouri,1989-02-01,154205,408706,138.87,52.4,21414421
Missouri,1989-03-01,157214,417700,140.25,52.79,22048628
Missouri,1989-04-01,156991,413991,137.84,52.27,21638854
Missouri,1989-05-01,154087,405951,137.69,52.26,21216295
Missouri,1989-06-01,153530,403888,137.73,52.36,21146379
Missouri,1989-07-01,152523,400284,137.71,52.47,21003715
